p_score,p_acat,p_snp,p_pheWAS_mega_acat,p_pheWAS_mega_acat_p,p_pheWAS_meta_acat,p_pheWAS_meta_acat_p,p_asset_meta,p_pheWAS_hmp,p_oracle,p_oracle_uncorrelated,p_pheWAS_mega,p_pheWAS_meta,p_multiphen,alpha,n_sims,num_sites,total_subjects,max_site,q,q_bin,q_con,intercept_only,flip_y,rm_gender,na_freq,maf,prevalence,num_pca,n_true_con,max_beta_con,direction_con,n_true_bin,max_beta_bin,direction_bin,beta_con,beta_bin,n_k,q_k,empirical_prev,no_case_rate
1,1,1,1,1,1,1,NA,1,1,1,1,1,0.756,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,1,0.35,Same -- Negative,1,0.35,Same -- Positive,-0.35/0/0/0,0.35/0/0/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.3182369,0
1,1,1,1,1,1,1,NA,1,1,1,1,1,0.9995,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,2,0.35,Opposite,3,0.35,Same -- Positive,0.35/-0.35/0/0,0.35/0.35/0.35/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.31871165,0
0.195,0.1555,0.1885,0.15,0.138,0.1525,0.1395,NA,0.161,0.195,0.195,0.125,0.129,0.076,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,4,0.03615384615384615,Opposite,4,0.03615384615384615,Same -- Positive,0.0361538461538462/-0.0361538461538462/0.0361538461538462/-0.0361538461538462,0.0361538461538462/0.0361538461538462/0.0361538461538462/0.0361538461538462,1000/1000/1000/1000/1000,8/7/6/5/8,0.31818045,0
1,1,1,1,1,1,1,NA,1,1,1,1,1,1,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,4,0.35,Opposite,4,0.35,Same -- Positive,0.35/-0.35/0.35/-0.35,0.35/0.35/0.35/0.35,1000/1000/1000/1000/1000,8/7/6/5/8,0.3189359,0
0.0875,0.075,0.086,0.082,0.076,0.0805,0.0795,NA,0.0935,0.171,0.149,0.0715,0.072,0.061,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,1,0.04487179487179487,Same -- Negative,1,0.04487179487179487,Same -- Positive,-0.0448717948717949/0/0/0,0.0448717948717949/0/0/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.31798795,0
0.1625,0.1405,0.1665,0.137,0.13,0.1365,0.132,NA,0.1535,0.2315,0.2145,0.1165,0.1185,0.0665,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,2,0.04487179487179487,Opposite,3,0.04487179487179487,Same -- Positive,0.0448717948717949/-0.0448717948717949/0/0,0.0448717948717949/0.0448717948717949/0.0448717948717949/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.31804905,0
0.265,0.1885,0.246,0.1855,0.1645,0.191,0.171,NA,0.1985,0.265,0.265,0.146,0.148,0.0825,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,4,0.04487179487179487,Opposite,4,0.04487179487179487,Same -- Positive,0.0448717948717949/-0.0448717948717949/0.0448717948717949/-0.0448717948717949,0.0448717948717949/0.0448717948717949/0.0448717948717949/0.0448717948717949,1000/1000/1000/1000/1000,8/7/6/5/8,0.318036675,0
0.1225,0.1055,0.1215,0.1165,0.1065,0.113,0.106,NA,0.119,0.197,0.1805,0.0995,0.098,0.0685,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,1,0.05358974358974359,Same -- Negative,1,0.05358974358974359,Same -- Positive,-0.0535897435897436/0/0/0,0.0535897435897436/0/0/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.318133775,0
0.234,0.1865,0.2265,0.178,0.169,0.1815,0.17,NA,0.1975,0.307,0.2845,0.149,0.148,0.075,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,2,0.05358974358974359,Opposite,3,0.05358974358974359,Same -- Positive,0.0535897435897436/-0.0535897435897436/0/0,0.0535897435897436/0.0535897435897436/0.0535897435897436/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.318060475,0
0.4055,0.294,0.3745,0.278,0.2585,0.2875,0.263,NA,0.2915,0.4055,0.4055,0.222,0.2245,0.0985,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,4,0.05358974358974359,Opposite,4,0.05358974358974359,Same -- Positive,0.0535897435897436/-0.0535897435897436/0.0535897435897436/-0.0535897435897436,0.0535897435897436/0.0535897435897436/0.0535897435897436/0.0535897435897436,1000/1000/1000/1000/1000,8/7/6/5/8,0.318266975,0
